geocode,season_end_year,disease,total_cases_L1,peak_week,R0,beta,gamma,duration_weeks,rmse,success
1100015,2012,dengue,37.113772549776506,201224,1.3920047864708163,0.41760143594376076,0.3000000000018074,50,1.0758521749101453,True
1100015,2013,dengue,165.1983864254611,201305,2.1930929622645703,0.6579278886922474,0.3000000000058713,19,0.9803339905601627,True
1100015,2016,dengue,566.0302153516792,201604,2.2383942220061317,0.7386700931575498,0.3299999999533265,17,5.228476814916576,True
1100015,2019,dengue,125.64456968813806,201924,2.13382193176765,0.6401465795986979,0.3000000000320565,20,17.630582982341142,True
1100015,2020,dengue,68.86208222850564,201947,2.276910725365019,0.7510458866782919,0.3298530233581684,13,0.13102056043861815,True
1100015,2022,dengue,172.64547376029466,202224,1.6547297583838265,0.49641892751710237,0.3000000000011811,34,1.8560085489368927,True
1100015,2023,dengue,381.73580424781113,202306,1.6914681592250649,0.5074404477787703,0.3000000000066515,29,23.08013125561998,True
1100015,2024,dengue,336.1594307165244,202410,1.490476472957354,0.49185723606326226,0.329999999991503,36,2.9872903961565993,True
1100015,2025,dengue,63.07640705182226,202523,1.4362158238454035,0.435816877392021,0.30344804043805956,48,0.10339324981055131,True
1100023,2014,dengue,78.18941327293138,201407,1.6380673468085047,0.49142020411325216,0.3000000000431611,31,0.261367511883217,True
1100023,2016,dengue,49.655464788215006,201611,1.6142621155820414,0.5093381535646937,0.31552382271019586,34,0.09494097710426523,True
1100023,2017,dengue,68.62870130731152,201714,1.305772047783304,0.39173161433993814,0.3000000000037885,50,0.281301894489687,True
1100023,2020,dengue,159.62829508506948,202012,1.3932508931018477,0.4544694975337082,0.3261935806277543,41,1.7364314979175073,True
1100023,2022,dengue,982.142313868495,202215,1.712008655043537,0.5136025965147606,0.3000000000009927,32,28.21759992372589,True
1100023,2023,dengue,356.46869283626415,202310,1.5178334221688279,0.45535002665824786,0.3000000000050068,36,7.059589594965473,True
1100023,2024,dengue,93.48233418022132,202405,1.7557944812972741,0.526738344453395,0.3000000000365719,27,0.9525000866660083,True
1100031,2013,dengue,49.356349273690256,201309,1.6182056481252909,0.49246381582799736,0.3043270899459053,33,0.08410497670443243,True
1100015,2012,dengue,37.113772549776506,201224,1.3920047864708163,0.41760143594376076,0.3000000000018074,50,1.0758521749101453,True
1100015,2013,dengue,165.1983864254611,201305,2.1930929622645703,0.6579278886922474,0.3000000000058713,19,0.9803339905601627,True
1100015,2016,dengue,566.0302153516792,201604,2.2383942220061317,0.7386700931575498,0.3299999999533265,17,5.228476814916576,True
1100015,2019,dengue,125.64456968813806,201924,2.13382193176765,0.6401465795986979,0.3000000000320565,20,17.630582982341142,True
1100015,2020,dengue,68.86208222850564,201947,2.276910725365019,0.7510458866782919,0.3298530233581684,13,0.13102056043861815,True
1100015,2022,dengue,172.64547376029466,202224,1.6547297583838265,0.49641892751710237,0.3000000000011811,34,1.8560085489368927,True
1100015,2023,dengue,381.73580424781113,202306,1.6914681592250649,0.5074404477787703,0.3000000000066515,29,23.08013125561998,True
1100015,2024,dengue,336.1594307165244,202410,1.490476472957354,0.49185723606326226,0.329999999991503,36,2.9872903961565993,True
1100015,2025,dengue,63.07640705182226,202523,1.4362158238454035,0.435816877392021,0.30344804043805956,48,0.10339324981055131,True
1100023,2014,dengue,78.18941327293138,201407,1.6380673468085047,0.49142020411325216,0.3000000000431611,31,0.261367511883217,True
1100023,2016,dengue,49.655464788215006,201611,1.6142621155820414,0.5093381535646937,0.31552382271019586,34,0.09494097710426523,True
1100023,2017,dengue,68.62870130731152,201714,1.305772047783304,0.39173161433993814,0.3000000000037885,50,0.281301894489687,True
1100023,2020,dengue,159.62829508506948,202012,1.3932508931018477,0.4544694975337082,0.3261935806277543,41,1.7364314979175073,True
1100023,2022,dengue,982.142313868495,202215,1.712008655043537,0.5136025965147606,0.3000000000009927,32,28.21759992372589,True
1100023,2023,dengue,356.46869283626415,202310,1.5178334221688279,0.45535002665824786,0.3000000000050068,36,7.059589594965473,True
1100023,2024,dengue,93.48233418022132,202405,1.7557944812972741,0.526738344453395,0.3000000000365719,27,0.9525000866660083,True
1100031,2013,dengue,49.356349273690256,201309,1.6182056481252909,0.49246381582799736,0.3043270899459053,33,0.08410497670443243,True
1100031,2015,dengue,105.64121911823659,201518,2.0590974381063805,0.6784459795017339,0.3294870689196996,19,0.08592825265621842,True
1100031,2016,dengue,69.85429720442106,201602,2.2841036605573186,0.685231098169699,0.300000000001096,18,0.07270395819082202,True
1100031,2019,dengue,43.50608550203923,201924,1.6776029048947239,0.5032808714686341,0.30000000000012933,33,0.17243078074817988,True
1100031,2020,dengue,49.813560417906494,201947,2.0659664594665146,0.6763640860056942,0.32738386574792155,14,0.11348292742516881,True
1100031,2023,dengue,68.27166563803969,202307,1.9419676143711058,0.6393758499373305,0.32924125263767,22,0.1276135401053016,True
1100049,2011,dengue,45.90485184212961,201106,1.4071776313913984,0.42215328942307523,0.30000000000401916,36,0.11697702610032447,True
1100049,2013,dengue,419.55423983503783,201312,1.7353302904336634,0.5205990871372651,0.3000000000041295,30,6.00194285956006,True
1100049,2014,dengue,62.598781819459816,201404,1.4002078877124016,0.42006236631978167,0.3000000000043288,35,0.3312384377302405,True
1100049,2016,dengue,253.18729011923776,201606,2.051212033549654,0.6154194183601083,0.30002720747260603,22,0.8716468214686054,True
1100049,2020,dengue,101.21873550705114,202017,1.4414719618490095,0.43244158862663856,0.30000000004990435,46,0.10115419154429496,True
1100049,2021,dengue,135.16154620871083,202109,1.5912111070201496,0.4875226107574536,0.30638462024717383,35,0.3143708731692243,True
1100049,2022,dengue,2042.2217954396363,202209,1.901445766138164,0.5704337298462911,0.30000000000254645,25,92.47521797035685,True
1100049,2023,dengue,660.8597372777352,202309,1.703592201185611,0.5110776603567064,0.30000000000060056,32,4.7836741933966,True
1100049,2024,dengue,171.76131441317185,202409,1.9604041375082129,0.6125747747467933,0.3124737206101857,22,0.4608301023793048,True
1100049,2025,dengue,135.99866048937923,202519,1.3112363332673576,0.3933708999981767,0.3000000000137042,50,0.6466905188495625,True
1100056,2011,dengue,156.90916092757266,201107,1.6698190930375307,0.5055721949823958,0.3027706397000891,31,0.9652120895231856,True
1100056,2012,dengue,110.01390932333858,201209,1.5267956762262316,0.4580387028701306,0.30000000000148097,35,0.5389555586111109,True
1100056,2013,dengue,784.0186904408633,201309,2.2119913719259854,0.7091123691782559,0.32057646253874417,18,1.795735131040899,True
1100056,2016,dengue,339.8756231481897,201606,2.3763663283352536,0.7130779818181331,0.3000707312317772,17,1.1377216584348586,True
1100056,2017,dengue,284.58738516972625,201707,2.0830599845002973,0.6358062803824864,0.30522706264505833,21,0.7140758686869488,True
1100056,2020,dengue,154.1143310842658,202009,1.7508286357582545,0.5667160117338498,0.3236844544117332,27,0.7543596608616088,True
1100056,2023,dengue,140.4153401012182,202310,1.7865562280049705,0.5784055717550902,0.3237544739361436,27,0.4193901078625232,True
1100056,2024,dengue,50.429956419269054,202409,4.127280150980437,1.2381840453018762,0.30000000000187654,7,0.05385404766315952,True
1100056,2025,dengue,56.70704430370889,202519,1.616488686285564,0.4904130739026211,0.3033816927166456,35,0.13904411388222554,True
1100064,2011,dengue,391.78531475150487,201050,2.1048608212737125,0.6314582464477767,0.30000000003119587,17,7.725716618019575,True
1100064,2012,dengue,130.59257300797861,201213,1.6711758397330025,0.5013527519240252,0.30000000000246796,34,0.5279907019862952,True
1100064,2013,dengue,70.99363633531942,201308,1.6113048540525523,0.48339145621618385,0.3000000000002595,33,0.4216408937856491,True
1100064,2020,dengue,67.06572485140939,202013,1.7720708752690428,0.5847833888345423,0.32999999999760626,27,0.07319886560257508,True
1100064,2024,dengue,60.15848770384122,202422,1.5102641531970888,0.49838717053024206,0.32999999998358087,39,0.15314177895490436,True
