geocode,season_end_year,disease,total_cases_L1,peak_week,R0,alpha,beta,gamma,duration_weeks,rmse,success
1100098,2024,dengue,242.68099049253297,202412,2.5122636125071796,0.601952599631046,0.7536790837558484,0.3000000000014706,16,1.0577838776517234,True
1100098,2025,dengue,142.62727480012674,202522,1.6958488641369693,0.41032481069065796,0.5087546592451975,0.3000000000024216,32,0.3388094406520715,True
1100106,2011,dengue,593.1953459118226,201108,1.4892987135420568,0.32854303108765787,0.44687430572567766,0.3000568668073708,36,3.251205082039067,True
1100106,2012,dengue,183.70361963019394,201223,1.3186112359527558,0.2416263620888569,0.39865165761221255,0.30232690784268107,50,1.825599362000938,True
1100106,2013,dengue,442.5349943950908,201301,1.8509068710886392,0.4597243029240932,0.5568299144014832,0.30084167015597885,23,2.0938906789777496,True
1100106,2016,dengue,274.0397217050254,201612,1.782150893998326,0.43888028596924217,0.5346452682204669,0.3000000000117662,29,1.1849440486990106,True
1100106,2017,dengue,81.4770596147921,201708,1.629434965957106,0.3862903270811948,0.48883054018050215,0.30000003092689886,33,0.22452978057717962,True
1100106,2018,dengue,66.13885378991334,201805,1.5823365386252672,0.36802318875300744,0.4747009615892026,0.30000000000102534,30,0.23149359464356548,True
1100106,2021,dengue,62.14669375592826,202107,2.7843352817673765,0.6408478509939928,0.8354203685539607,0.3000430206895456,14,0.17619486049887428,True
1100106,2023,dengue,628.7666505551781,202304,3.036689956359869,0.6706940733591662,0.9110069869086126,0.30000000000021465,12,9.022446891885735,True
1100114,2012,dengue,111.04232785721108,201215,1.5334539571669616,0.3478773879539961,0.4601690478339862,0.3000866414562216,41,0.2863781910753918,True
1100114,2013,dengue,249.29280185268257,201307,1.774738622809192,0.43653674566617395,0.5324215868435557,0.3000000000004497,29,6.717415514446445,True
1100114,2014,dengue,65.97037819704327,201415,1.3242257278870406,0.24484173737084935,0.3992579746733812,0.301502958495184,49,0.2821184094773591,True
1100114,2016,dengue,87.4055584518347,201612,1.8684850176089283,0.46480705460529476,0.5605488343314285,0.3000017816834059,26,0.4378985195653612,True
1100114,2017,dengue,163.61696950106398,201705,2.0320504200407505,0.5078862265730857,0.611942368334454,0.3011452680008709,22,0.46836393941205023,True
1100114,2020,dengue,104.47123274601465,202018,1.423402475495162,0.29745801541329475,0.4297243218285872,0.30189937788263166,48,0.49329177651053996,True
1100114,2021,dengue,53.04235913338323,202105,1.701495803181203,0.41228182982858425,0.5107202806949394,0.3001595888394616,29,0.12611040143398783,True
1100114,2022,dengue,260.58707572178605,202223,1.4612252484585913,0.31564281341642964,0.4390343361260968,0.30045630308484117,46,2.5592047647942304,True
1100114,2023,dengue,1619.4973365087676,202251,1.8878661272408679,0.47030142361762256,0.5663598381738384,0.3000000000008359,20,48.57629392717099,True
1100114,2024,dengue,101.12027804187002,202409,1.899683526913915,0.47359653024705334,0.5699050581156107,0.30000000002181215,26,1.0578801365660861,True
1100114,2025,dengue,98.89144111386378,202522,1.4073883449771976,0.28946406045717116,0.444832540997142,0.3160695074566282,49,0.38280780619812016,True
1100122,2011,dengue,36.227160855167384,201124,1.3508553678420678,0.25972829970875705,0.4088923922470111,0.3026914664448488,50,1.762884732584534,True
1100122,2013,dengue,227.32359716636896,201304,3.227009374492514,0.6901155577965242,0.9681028124213473,0.30000000002280536,11,5.125638790711889,True
1100122,2014,dengue,323.5145521964137,201407,1.3907787591775982,0.2809783774729744,0.417541029361781,0.3002210284033122,38,15.412823477039177,True
1100122,2016,dengue,896.589295901855,201607,2.365063771483563,0.577178420278825,0.756234691864309,0.3197523470540231,16,3.3732207885608285,True
1100122,2017,dengue,93.91521497077625,201703,1.9576288428403514,0.48917793908824625,0.5872886528547816,0.30000000000136706,23,0.18174489176827477,True
1100122,2021,dengue,60.48526312921511,202118,1.639436995021917,0.3900345038958747,0.4924554978108046,0.30038086203137143,35,0.28437175683677385,True
1100122,2022,dengue,487.7961577670743,202214,1.5412385158068345,0.35117115894517953,0.4641799643988453,0.3011733483417706,40,12.169949318350307,True
1100122,2023,dengue,663.2331333268755,202305,2.393180700580743,0.5821460536777125,0.717954210182189,0.30000000000332866,17,13.124918029083444,True
1100122,2024,dengue,141.2507680880426,202410,2.6511119787589728,0.6227997881597911,0.795333593641232,0.30000000000510735,14,0.38755789511442806,True
1100122,2025,dengue,333.76679886880396,202519,1.809828580585009,0.44746148296721006,0.5431538580669746,0.3001134272569646,28,3.828973020833424,True
1100130,2011,dengue,82.14447639231699,201048,2.5119390858123927,0.6019011744161832,0.7535817257482529,0.30000000000180543,13,0.1463190523744428,True
1100130,2013,dengue,63.41346904584816,201319,1.3576555401550672,0.2634361438352889,0.40963882195310414,0.3017251503325479,50,0.1770222759674847,True
1100130,2014,dengue,114.13278806545296,201407,1.447080114254399,0.30895325687255043,0.43412437000725146,0.300000232005767,36,0.5493044611561,True
1100130,2016,dengue,115.37564100891977,201607,2.148650344353413,0.5345915622669973,0.6445951033383768,0.30000000001505733,20,0.32887263175991055,True
1100130,2017,dengue,458.6022060990188,201649,2.7841318552683165,0.6408216090384747,0.8352395565806701,0.3000000000000629,14,3.037518468652352,True
1100130,2022,dengue,223.08779087930657,202216,2.122546421028789,0.5288677834827733,0.6370775696496734,0.3001477674824585,21,0.8276844156571201,True
1100130,2023,dengue,84.89615466388828,202307,1.570180679239528,0.36313061724570356,0.4710542038555999,0.3000000000533324,33,0.3134189903897374,True
1100130,2024,dengue,103.4753779484889,202407,3.43688177752507,0.7090385806869072,1.1324082558990682,0.329487113378257,9,0.104496454457331,True
1100148,2011,dengue,347.90633178159277,201110,1.4890020155606667,0.32840923682466505,0.4913706651348576,0.32999999999989094,35,3.340758901913885,True
1100148,2013,dengue,83.31160753513959,201308,2.0771809674730966,0.5185782964223352,0.6231542902551385,0.30000000000635935,22,0.1645802635170774,True
1100148,2016,dengue,315.586132490809,201607,2.1944444293515986,0.5443037943341886,0.6583333288070854,0.3000000000007318,20,3.238942290647279,True
1100148,2017,dengue,76.54042880493154,201712,1.5742392323350465,0.3647725330052191,0.4722717697686129,0.30000000004325833,37,0.11113627236504538,True
1100148,2020,dengue,243.88660634821278,202013,1.773986215589689,0.43629776194873593,0.5321958646817766,0.3000000000027452,29,1.0100400839284254,True
1100148,2022,dengue,599.0059779549,202218,1.7660707359227579,0.43377126427639484,0.5298212207844888,0.30000000000433813,29,10.24676267700971,True
1100148,2023,dengue,139.89466634902112,202304,1.5071877922063108,0.3365126726934666,0.49737197140557055,0.3299999999850636,30,0.16008177637719526,True
1100148,2024,dengue,134.7361230035459,202410,2.810578377952579,0.6442013473652104,0.8568650611398542,0.3048714342433867,13,0.3742443809205696,True
1100155,2013,dengue,60.43331224443236,201314,1.5665638757950864,0.3616602454256998,0.4733357358900938,0.30214901747932826,39,0.0861159742064081,True
1100155,2016,dengue,101.57544848205538,201609,2.0362361782632807,0.5088978328373939,0.6173859887426212,0.3031995970473296,22,0.0798985037140114,True
1100155,2017,dengue,47.35262667922241,201711,1.4029703587827222,0.28722656630633076,0.42089110765087384,0.3000000000114451,41,0.19612041603066027,True
1100189,2013,dengue,52.99111878306903,201303,2.3984333251247376,0.5830611635001394,0.7196797053471338,0.30006241899999647,17,0.06892138655874629,True
1100189,2015,dengue,53.3293137221501,201511,1.576422176708698,0.3656521617274947,0.5202193183058073,0.32999999999488516,35,0.2400905514614562,True
1100189,2016,dengue,530.6797611070527,201609,1.8258012810603372,0.45229526872757575,0.5477774293409904,0.3000202897343065,27,2.501649567544574,True
1100189,2017,dengue,50.63482906397911,201705,1.6018277122060343,0.3757131354515013,0.4805948324108551,0.3000290410439839,30,0.043641014080526924,True
1100189,2022,dengue,187.71533442322107,202220,1.5362811427219034,0.34907747534526673,0.46088434283634994,0.3000000000128745,41,2.031565140555522,True
1100189,2023,dengue,940.0116912285927,202307,1.9676247207136923,0.49177300454058015,0.5902874162214805,0.30000000000374705,24,4.6061738195297535,True
1100189,2024,dengue,93.82237117621824,202408,1.743182687976739,0.4263366617295456,0.5752502870199977,0.32999999999292895,27,0.15587114670879929,True
1100205,2011,dengue,421.7348226629319,201050,1.760206255054268,0.4318847594544144,0.5280618765171613,0.3000000000005004,21,17.4059777244849,True
1100205,2012,dengue,116.11476286673366,201208,1.478682571908306,0.32372233297545716,0.4436137747874658,0.3000060886732183,35,0.48435926773613175,True
1100205,2013,dengue,850.9970476186774,201305,1.990139689652385,0.49752270898397655,0.5970419069134216,0.3000000000088969,23,19.47221550745849,True
1100205,2014,dengue,215.12896344993396,201418,1.452382281056051,0.3114760397153264,0.4357146843201001,0.3000000000022617,46,0.9668489349182691,True
1100205,2015,dengue,284.2361114225626,201509,1.324162410937841,0.24480562826749652,0.3972487232922595,0.30000000000823707,44,5.148827896931507,True
1100205,2016,dengue,890.148535976772,201610,1.7750993549694203,0.43665125154798623,0.5325298065029952,0.30000000000685545,29,31.33107207838139,True
